lga_code,lga_name,longitude,latitude,pop_65_plus,percent_65_plus
54620,Kondinin,119.184825,-32.427303,181,21.0
54690,Koorda,117.425469,-30.590475,106,28.4
54760,Kulin,118.576097,-32.717506,174,21.8
54830,Kwinana,115.828658,-32.227678,5185,9.5
54900,Lake Grace,119.287535,-33.059879,252,19.1
54970,Laverton,125.40167,-27.891089,108,7.5
55040,Leonora,121.145372,-28.212317,145,8.3
55110,Mandurah,115.652078,-32.686496,26343,25.6
55180,Manjimup,116.325651,-34.557014,2254,23.7
55250,Meekatharra,118.864017,-25.140096,130,10.1
55320,Melville,115.829419,-32.047429,23616,20.8
55390,Menzies,123.97114,-29.575089,66,11.4
55460,Merredin,118.359355,-31.515309,678,20.3
55530,Mingenew,115.48426,-29.158182,102,24.2
55600,Moora,116.185453,-30.498048,518,21.3
55670,Morawa,116.017102,-29.066906,169,24.6
55740,Mosman Park,115.765582,-32.014735,1944,18.9
55810,Mount Magnet,117.976411,-28.238052,115,16.5
55880,Mount Marshall,117.962189,-30.183759,85,18.2
55950,Mukinbudin,118.311152,-30.629932,149,24.7
56090,Mundaring,116.251634,-31.899945,8758,20.7
56160,Murchison,116.299766,-26.751842,12,11.4
56230,Murray,115.98943,-32.623649,5071,24.7
56300,Nannup,115.663913,-34.128436,560,33.4
56370,Narembeen,118.653856,-32.0471,219,25.8
56460,Narrogin,117.262261,-32.995368,1114,22.2
56580,Nedlands,115.789607,-31.972429,4973,19.8
56620,Ngaanyatjarraku,126.835296,-25.094843,110,7.4
56730,Northam,116.635995,-31.685944,2621,21.1
56790,Northampton,114.645931,-27.753082,1083,32.0
56860,Nungarin,118.208077,-31.149384,67,26.0
56930,Peppermint Grove,115.7671,-31.999295,378,21.2
57000,Perenjori,116.611424,-29.443936,121,18.4
57080,Perth,115.846499,-31.960174,3727,10.8
57140,Pingelly,117.222057,-32.51995,328,30.1
57210,Plantagenet,117.562008,-34.597201,1463,25.5
57280,Port Hedland,118.673386,-20.929331,755,4.3
57350,Quairading,117.423452,-32.004797,299,30.9
57420,Ravensthorpe,120.138621,-33.616167,447,19.6
57490,Rockingham,115.794612,-32.351263,21983,14.3
57630,Sandstone,119.173113,-28.335901,36,31.3
57700,Serpentine-Jarrahdale,116.034331,-32.344236,3998,10.3
57770,Shark Bay,114.565961,-26.55808,232,19.9
57840,South Perth,115.870015,-31.9978,9050,18.9
57910,Stirling,115.81963,-31.885677,41880,16.8
57980,Subiaco,115.818708,-31.952033,3929,20.2
58050,Swan,116.067425,-31.741263,21017,11.7
58190,Tammin,117.495006,-31.606654,86,21.4
58260,Three Springs,115.577328,-29.525751,114,19.0
58330,Toodyay,116.380675,-31.471081,1433,28.2
58400,Trayning,117.80688,-31.143998,92,30.1
58470,Upper Gascoyne,116.355116,-24.726577,24,11.9
58510,Victoria Park,115.901496,-31.979723,5760,13.6
58540,Victoria Plains,116.319604,-31.014319,189,22.7
58570,Vincent,115.85259,-31.931269,4778,11.5
58610,Wagin,117.369936,-33.27668,523,28.7
58680,Wandering,116.581268,-32.547167,134,24.5
58760,Wanneroo,115.762938,-31.611734,29362,12.4
58820,Waroona,115.920099,-32.85794,1109,24.4
58890,West Arthur,116.739383,-33.457121,208,26.4
59030,Westonia,118.65626,-30.967574,75,30.5
59100,Wickepin,117.671768,-32.806948,147,20.7
59170,Williams,116.728104,-33.071417,246,23.1
59250,Wiluna,122.245086,-25.312013,52,9.2
59310,Wongan-Ballidu,116.842627,-30.717112,320,23.8
59320,Woodanilling,117.338093,-33.533658,115,23.5
59330,Wyalkatchem,117.43529,-31.186664,141,28.7
59340,Wyndham-East Kimberley,127.069171,-15.565804,702,8.4
59350,Yalgoo,117.050274,-28.565146,55,15.6
59360,Yilgarn,119.341994,-30.957333,224,18.5
59370,York,116.735444,-31.926366,1248,34.2
60210,Break O'Day,148.049876,-41.425306,2431,33.9
